,US_Equity,EU_Equity,Intl_Developed,EM_Equity,Global_Tech,Global_Healthcare,Global_Financials,Global_Infrastructure,Global Energy,Global Industrials,Global Consumer Staples,Global Consumer Discretionary,Global Comm Services,Global Materials,Global Utilities,Style_Value,Style_Momentum,Style_Quality,Style_MinVol,Rates_US_Long,Rates_Developed,Rates_EM,Credit_US_IG,Credit_US_HY,Credit_EU_IG,Credit_EU_HY,Credit_EM,FX_USD,FX_EUR,FX_JPY,FX_EM,Commodities_Broad,Commodities_Gold,Commodities_Oil,Inflation_Expectations,Global_Real_Estate,ESG,HF,Diversified PE,Diversified Debt
Credit_US_HY,0.000474941,0.000457835,0.0004693,0.000363941,0.000540308,0.000331763,0.000495485,0.000392783,0.000337071,0.000526269,0.00029125,0.000521257,0.000470694,0.000530067,0.000354613,0.000556626,0.00047639,0.00047895,0.000348795,0.00034774,0.000275495,0.000247072,0.000287116,0.000305917,0.000413677,0.00028796,0.000304322,-0.000124161,0.00011312,0.000222591,0.000176589,8.56E-05,9.24E-05,6.57E-05,0.000161438,0.000534268,0.000506465,0.000154349,0.000280376,0.000140763
Credit_EU_IG,0.000626247,0.000925702,0.00097335,0.000730758,0.000800933,0.000606534,0.000691761,0.000811498,-0.000112481,0.000913586,0.000728088,0.000830172,0.000641802,0.001061485,0.000851683,0.000755342,0.000687822,0.000692361,0.00057859,0.001016874,0.000993195,0.000682795,0.000659439,0.000413677,0.002010256,0.000814075,0.000617396,-0.000595234,0.000549202,0.000873021,0.00049448,-0.000400112,0.000504822,-0.001140614,0.000361085,0.001061397,0.000753159,0.000179688,0.000390965,0.000213085
Credit_EU_HY,0.00052359,0.000812523,0.000809228,0.000604859,0.000661352,0.00048256,0.000638425,0.00060646,0.00015202,0.000721656,0.000478453,0.000589398,0.000628185,0.00079796,0.000540849,0.000612832,0.000610614,0.000555276,0.000400229,0.000440006,0.00060665,0.000514853,0.000368784,0.00028796,0.000814075,0.000902649,0.000419123,-0.000450659,0.000470577,0.00050912,0.000380715,-9.73E-05,0.000391971,-0.000364512,0.000203319,0.000710797,0.000586981,0.000193582,0.000384286,0.000181808
Credit_EM,0.000610379,0.0006656,0.00067987,0.00060335,0.000679018,0.000488381,0.000686758,0.000570718,0.000423362,0.000707788,0.000437608,0.000688639,0.000654172,0.000799979,0.000565256,0.000748766,0.000588934,0.000629396,0.00048746,0.000586368,0.000429689,0.000412414,0.000430484,0.000304322,0.000617396,0.000419123,0.000604497,-0.000212217,0.000210036,0.000370671,0.000297494,0.000102818,0.000210433,-6.36E-06,0.000233712,0.00077717,0.000655106,0.000214621,0.000349963,0.000167362
FX_USD,-9.99E-05,-0.000487852,-0.000452259,-0.000348125,-0.000147391,-0.000272876,-0.000220664,-0.000324223,8.23E-05,-0.000281522,-0.000287023,-0.000239232,-0.000207155,-0.000458025,-0.000279099,-0.000212976,-0.000122945,-0.000137086,-0.000139275,-0.000330829,-0.000484813,-0.00035667,-0.000227943,-0.000124161,-0.000595234,-0.000450659,-0.000212217,0.000585628,-0.000405055,-0.000442821,-0.000225287,0.000201199,-0.000346794,0.000475239,-0.000139656,-0.00035902,-0.000157628,-7.23E-05,-7.88E-05,-7.35E-05
FX_EUR,0.000124139,0.00050767,0.000498889,0.000434663,0.000164689,0.000298416,0.000269569,0.000398775,6.32E-05,0.000329748,0.000315838,0.000171589,0.000277311,0.000531405,0.000393068,0.000248294,0.000180158,0.000159549,0.000177647,0.00026989,0.000480163,0.000389503,0.000203329,0.00011312,0.000549202,0.000470577,0.000210036,-0.000405055,0.000596164,0.000404114,0.000320504,-6.13E-05,0.000489852,-0.000418448,0.000129707,0.000329821,0.000165363,7.61E-05,0.000111023,6.37E-05
FX_JPY,0.000167244,0.000656892,0.000637473,0.00038567,3.43E-05,0.0005045,0.000468712,0.000526758,-1.44E-05,0.000465416,0.000574161,0.000396637,0.000232829,0.000748258,0.000582071,0.000439242,0.000214309,0.000244824,0.000371195,0.000661112,0.00069663,0.000481513,0.0004031,0.000222591,0.000873021,0.00050912,0.000370671,-0.000442821,0.000404114,0.00106224,0.000379743,-0.000333101,0.000418695,-0.001033946,0.000250997,0.000728024,0.000270772,8.41E-05,5.79E-05,5.60E-05
FX_EM,0.000324876,0.000572333,0.000577375,0.000493661,0.000300269,0.000381384,0.000488205,0.000523924,0.000326925,0.000537909,0.000414393,0.000378173,0.000434851,0.000719888,0.000551562,0.000478609,0.000399393,0.000357888,0.000342781,0.000333156,0.000407655,0.000393397,0.000255299,0.000176589,0.00049448,0.000380715,0.000297494,-0.000225287,0.000320504,0.000379743,0.000488764,9.88E-05,0.000368936,-0.00026119,0.000147936,0.000543118,0.000364007,0.000128029,0.000187093,7.96E-05
Commodities_Broad,0.000270153,0.00012066,0.00013245,0.000391072,0.000176736,0.000144679,0.000335001,0.00020829,0.001284531,0.000235866,-2.27E-05,1.95E-05,0.000284793,0.000373545,0.000191292,0.000480735,0.000128452,0.000211918,0.000177489,-0.000117688,-0.00022473,-3.07E-06,1.81E-05,8.56E-05,-0.000400112,-9.73E-05,0.000102818,0.000201199,-6.13E-05,-0.000333101,9.88E-05,0.001458389,3.98E-05,0.001948914,4.59E-05,9.28E-05,0.000192647,0.00012088,0.000143367,6.09E-05
Commodities_Gold,7.63E-05,0.000642489,0.00055885,0.000546586,-8.11E-05,0.000325291,0.000429364,0.000611698,0.000146982,0.000381118,0.000433003,0.000205367,0.000426545,0.000734483,0.000727154,0.000211898,9.31E-05,0.000111346,0.000275946,0.000160238,0.000441154,0.000353113,0.000169803,9.24E-05,0.000504822,0.000391971,0.000210433,-0.000346794,0.000489852,0.000418695,0.000368936,3.98E-05,0.001824226,-0.000499478,0.000203312,0.000346766,8.34E-05,0.000107224,0.000184572,0.000156401
Commodities_Oil,0.000513978,-0.000253971,-0.000179823,0.000348206,0.000606562,-0.00017015,0.000337442,-0.00015747,0.001963897,0.000227414,-0.000613075,-7.43E-05,0.000417027,-0.000205033,-0.000368029,0.000582015,0.00027364,0.000312639,3.70E-05,-0.000601209,-0.000797249,-0.000351801,-0.000175364,6.57E-05,-0.001140614,-0.000364512,-6.36E-06,0.000475239,-0.000418448,-0.001033946,-0.00026119,0.001948914,-0.000499478,0.006092971,-0.000124314,-0.000298859,0.000334191,0.000233842,0.000422232,0.000166989
Inflation_Expectations,0.000244525,0.000355541,0.000340871,0.000266022,0.000244404,0.000323105,0.000297167,0.000286885,0.000243377,0.000302598,0.000282148,0.000290249,0.000261776,0.000414602,0.000315025,0.000366724,0.000200988,0.000274187,0.000274665,0.000391479,0.000264574,0.000208533,0.000251527,0.000161438,0.000361085,0.000203319,0.000233712,-0.000139656,0.000129707,0.000250997,0.000147936,4.59E-05,0.000203312,-0.000124314,0.000243678,0.000422621,0.000268487,8.03E-05,0.000124157,8.35E-05
Global_Real_Estate,0.0011208,0.001262338,0.001273394,0.000896538,0.001048215,0.001015253,0.00138083,0.001163181,0.000864158,0.001352487,0.000973267,0.001318924,0.001004038,0.001551488,0.001080598,0.001455191,0.001133992,0.001183913,0.001002582,0.001015086,0.000758226,0.000657479,0.000724112,0.000534268,0.001061397,0.000710797,0.00077717,-0.00035902,0.000329821,0.000728024,0.000543118,9.28E-05,0.000346766,-0.000298859,0.000422621,0.002169601,0.001246022,0.000401536,0.000619303,0.000289452
ESG,0.001440842,0.000990682,0.001105785,0.000857223,0.00173588,0.000697664,0.001292943,0.000931957,0.000741247,0.001418892,0.000622155,0.001461581,0.001385252,0.00115807,0.000771586,0.001435575,0.001573353,0.001407348,0.000872562,0.00058881,0.000471671,0.000477367,0.000548722,0.000506465,0.000753159,0.000586981,0.000655106,-0.000157628,0.000165363,0.000270772,0.000364007,0.000192647,8.34E-05,0.000334191,0.000268487,0.001246022,0.001881722,0.000476954,0.00089192,0.000335344
HF,0.000465143,0.000331463,0.000383549,0.000336022,0.000511015,0.000207406,0.000484882,0.000321964,0.000347494,0.000473513,0.000166463,0.000496918,0.000498683,0.000429239,0.000238687,0.000525715,0.000493475,0.000433244,0.000253701,0.000134875,0.000135093,0.00016057,0.000156114,0.000154349,0.000179688,0.000193582,0.000214621,-7.23E-05,7.61E-05,8.41E-05,0.000128029,0.00012088,0.000107224,0.000233842,8.03E-05,0.000401536,0.000476954,0.000262845,0.000301604,0.00012051
Diversified PE,0.000886041,0.000547527,0.000633197,0.000549858,0.001176754,0.000312932,0.000758637,0.000493927,0.000420649,0.000823659,0.000265542,0.000808089,0.000915075,0.000560663,0.000356943,0.000809196,0.000967622,0.000834342,0.000471705,0.000237951,0.000217989,0.000223762,0.000274915,0.000280376,0.000390965,0.000384286,0.000349963,-7.88E-05,0.000111023,5.79E-05,0.000187093,0.000143367,0.000184572,0.000422232,0.000124157,0.000619303,0.00089192,0.000301604,0.000859038,0.000253672
Diversified Debt,0.000326905,0.000294068,0.000288414,0.000240654,0.000409812,0.00013203,0.000335709,0.000264888,0.00021606,0.0003593,0.000148473,0.000334694,0.000334164,0.000283634,0.000224258,0.000308181,0.000332696,0.000314101,0.000202863,0.000127572,0.00012404,0.000110442,0.000144915,0.000140763,0.000213085,0.000181808,0.000167362,-7.35E-05,6.37E-05,5.60E-05,7.96E-05,6.09E-05,0.000156401,0.000166989,8.35E-05,0.000289452,0.000335344,0.00012051,0.000253672,0.0001842
