Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
1.511461354,-0.055446864,0.187877759,7.713563018,-13.02491959,2.195391719,2.462318502,5.933149772,2.356410991,2.976007854,2.423786979,2.276001869,0.090362386,0.885506337,-1.057400225,2.473718733,1.619030928,-0.105541963,1.000353498,0.752055743,-0.558521612,3.562268207,2.554733627,0.668841854,2.154740809,1.291700448
-2.442192378,-4.286531405,-4.044768156,-3.846382142,23.46431144,-3.830831942,-1.585293514,2.560278928,1.761267505,-3.448932859,-0.149448867,5.072888045,-2.356932047,-2.303918592,-0.433132336,-2.997338313,-2.542777084,-3.933474459,-2.997289484,-3.079041642,-6.449044305,-2.177833946,-0.739639159,-1.281490352,-2.210538983,0.353384583
0.187665981,-2.965392883,-2.981463926,2.892864996,3.274623537,-0.764394996,-1.432886759,0.691911718,5.437447903,2.459217885,3.696249578,-2.633027748,-2.899230382,0.442343844,-2.177668154,-2.38401828,-3.417758806,-2.744722815,-1.944905705,1.172794684,4.416438435,1.67882737,2.480897703,-1.02370033,-0.726414044,4.592168181
2.489337776,3.624796919,3.326171743,-1.105026411,-17.55083185,4.011955592,1.318862397,2.408220803,-1.092879278,1.355672454,0.42845671,-0.820693706,3.423689276,1.998066392,2.485148731,3.145783475,3.130008456,3.548201727,1.922477264,1.204271398,5.217228767,-0.050839407,1.794736589,2.938777477,0.492074308,-0.387866331
-0.038904609,0.140040709,-0.769117344,-1.025294861,33.58161088,0.130663035,-0.666385782,1.187664179,1.67280671,-3.823999599,-2.461167579,-0.766170923,-0.40236757,-0.093629573,0.192832264,-0.445921277,-0.553212829,-0.730418546,-2.127042214,4.345902114,-1.6238354,-5.733671103,-0.719442035,0.511011147,-3.348353746,-2.733731046
2.831951654,-2.376490678,-1.663486704,10.05463244,38.21763331,0.567703979,1.269640851,5.746992914,1.281873957,10.47611311,8.25641759,-8.260180618,-1.70669484,2.75295579,0.432556168,-0.120629267,0.013907433,-1.251586052,2.623913754,8.598625572,7.175814891,12.2235547,4.785371782,0.629466717,9.144252067,7.4629752
1.916597302,-2.337561673,-2.484695983,3.005361384,29.61520516,-0.131189893,-0.440587719,4.320746969,3.112439839,2.322608179,2.011733217,4.158838726,-1.239090397,1.74389256,-0.633150254,-0.880589899,-2.252746111,-1.898784222,-0.974001625,2.87997894,2.625684554,2.126521181,1.065306484,-0.712958916,1.479684767,1.068378659
0.935022652,-0.823542913,-1.024941012,-0.13147214,7.793960491,1.378613502,-2.070817887,2.847064713,2.558514171,-1.061913074,-0.586712603,-3.529005411,-1.906185152,-1.221519306,-0.656321591,1.749176193,-1.511577669,0.063123566,-0.21761332,-1.215621065,-1.124864538,-1.727962487,0.546380647,0.363985136,-0.696360928,-1.301863086
1.976206823,-3.575992066,-3.158016808,1.614591111,20.31084686,0.469788327,-4.724367199,-0.843299567,5.770061956,0.585154578,0.63495737,-8.161712264,-4.354853922,2.20643643,-1.87390428,-3.30997771,-3.50146155,-3.197646241,0.096983029,4.31752276,0.191394904,1.231373643,0.063866675,-1.037235079,2.361784499,1.114552097
1.879234807,0.958290836,-0.07070514,2.505996703,15.780634,1.750183317,0.349156036,0.353920734,-1.421889808,3.564527056,3.896206873,-0.018510192,-0.436875187,0.97050224,2.286529236,2.331405417,-0.244517129,1.648611934,4.396877701,10.80013416,1.521203767,4.401221227,2.786763997,1.616078338,4.710962635,5.522854856
1.90337574,0.03631337,0.446468439,3.257457792,-6.869725302,0.870765886,2.089534418,0.910151169,9.033055728,2.627117681,3.87570562,3.281701157,0.642619313,2.736651015,0.351805957,0.879662287,0.779947671,0.475749871,4.548828332,2.8995325,-1.900953355,4.117609303,3.049895127,0.93723845,6.359988154,4.873265733
-1.372502811,-2.588154252,-2.579371725,0.059124989,-46.62722869,-1.777581664,-1.823072655,-1.14719972,0.251470387,0.640495521,-1.321322852,4.53922232,-2.080753368,-2.181656029,-2.743702782,-1.756417682,-2.387436713,-2.437700419,-2.22407742,-1.614858966,-1.076589263,1.72392224,-1.814051039,-2.227327273,-1.614196746,-2.128061477
3.255970079,3.175332842,3.541894722,0.401664966,1.351415306,3.285804498,3.572308271,3.659531043,4.310938679,1.629617646,3.967042481,-4.574641802,1.943415125,3.600741084,4.032329933,3.759256865,4.443804753,3.064878525,4.481766369,0.514730731,1.920667167,1.300106203,5.107725141,4.174408085,4.101283182,4.939813783
-1.44057768,0.522369127,0.58362435,-1.791389095,14.7639784,-0.846924983,0.030295616,-7.17991918,1.799273179,0.243943243,0.378659952,1.963832535,1.12237068,-1.088490595,-0.422815568,0.143240924,0.753038131,-0.067924549,2.147517831,0.880080472,-1.165107211,1.055755571,0.646076523,0.104237333,3.503822064,1.885515865
1.834543964,0.868539416,0.876255219,1.194858426,9.454144471,1.66568373,1.971994119,2.634993966,0.211610097,2.513772271,3.228250277,0.990569713,0.596352149,1.857304375,1.684978022,0.793554906,0.854318735,0.882397374,2.457845512,2.931630146,2.981396153,2.507581638,3.425649365,1.862953981,2.624636017,4.009984242
1.823760722,1.048277648,1.142889505,-2.600991325,-8.893567498,2.363600082,-0.610263913,-1.88626852,7.870428459,-1.251730201,-2.254857282,-1.233280115,-0.248607764,0.769693425,1.693091988,0.724182932,0.758645748,1.356673169,-1.446868528,-4.057364121,4.732799137,-3.187038561,0.311747665,2.43987308,-4.011181938,-2.705433743
-0.220555865,-1.708104895,-1.541390228,3.406612256,36.8545492,-1.272257195,-1.372357149,-0.465773372,1.763606295,1.597673553,3.721936092,0.012512233,-1.888976469,0.842174258,-1.843454546,-1.868636033,-1.134908912,-1.580171419,2.735707648,4.392366983,-4.200666128,3.427464333,2.10988126,-1.336146541,4.965247951,5.249233618
0.818954859,3.366841248,3.109390317,-4.358710642,-4.399888316,2.237418358,0.939494426,-1.331387935,-6.226455762,-1.801541366,0.50471675,2.099687738,3.013333934,0.293961832,1.663764031,3.649692418,2.731667768,3.563397128,2.317868885,1.530924533,-0.23383286,-1.947627809,2.493828782,2.380226801,1.32352669,2.032500295
-0.593402886,-2.088277465,-2.096968331,1.661544513,-31.70944506,-1.447260338,0.399868267,-0.219205214,2.135073859,2.577604105,2.087413611,1.563213607,-2.481224322,0.138553387,0.521505658,-1.153873211,-1.877058909,-1.744090912,3.938992733,5.726149372,0.527488817,3.586150644,0.808790465,0.10103252,5.469333786,2.788694616
-1.441182352,-1.074158903,-1.388720363,-4.063767575,-26.01003654,0.459977144,-2.802411304,0.609649712,10.31939631,-3.072569522,-4.023676915,-1.079326356,-1.448339321,-2.947997143,-2.060626303,-2.526664498,-2.325757016,-1.807324013,-4.194409455,-4.93359182,-3.766195478,-2.450495681,-2.682994766,-1.236341758,-6.02212431,-4.788182657
0.070905557,-1.423595083,-0.950797551,2.521887726,11.53793893,0.090929585,-5.488992245,-4.215339834,7.281434423,-3.288355595,-2.907135529,6.129282344,-0.916551166,-0.906475697,-0.662749383,-1.158407959,-1.64386312,-0.331846929,-2.054250317,2.954335293,-1.594054834,-4.874469611,-0.850017658,-0.16820556,-2.309305797,-2.795149197
3.34623067,0.675629101,-0.729908098,7.507881708,5.962019933,2.622487858,1.026981305,-1.315878516,10.51256256,2.641371647,4.046283708,3.545685878,-1.305839573,2.225560846,0.829828745,-1.19886842,-0.87002539,-0.492831741,6.362610357,7.187598222,-0.012032266,2.342923311,3.947508372,1.733224211,7.072078468,5.810489912
2.998149932,1.389034749,0.50770031,-2.50862674,-10.25535477,3.836242382,-2.519105556,-1.94361736,8.864741215,-2.589196138,-4.024068876,2.219431187,-1.394199257,1.484868296,0.117070968,0.339169934,-0.981023873,1.839229532,2.224530438,-1.698777754,-4.058437042,-1.981199706,-1.059898276,1.781154743,-0.92010722,-4.7984427
-0.763897426,-0.374760113,0.536528423,0.536538347,-25.24562417,-1.106329023,0.587397835,0.389191595,1.981088966,1.753828494,0.223529944,-3.522688367,-0.295560887,-1.32689392,1.394345243,1.431689475,1.227365278,1.224231,-2.969831856,3.289518475,1.493597438,2.436013886,0.175574737,0.339143043,-4.764470489,0.003041457
0.531047617,1.80889052,1.858106354,-4.550737799,-49.82555783,1.146749921,-2.928587021,-1.852871531,-9.144565846,-5.706734785,-5.0102243,1.803443183,0.409594582,1.267970537,-3.886924649,0.32123425,0.325463303,1.950011285,-0.826556529,-7.219280974,-4.248324689,-6.529368466,-2.009345136,-1.80688553,-5.085018546,-5.184475279
1.319500365,3.033676364,2.562049821,3.98973149,20.53079238,0.933647796,3.591257902,-0.292243652,4.056904018,5.097174993,6.8876218,-2.481012001,1.861270975,1.534193207,6.537561532,2.759881667,3.360773335,2.288406363,5.126808661,9.310383327,6.152245963,4.700988885,6.434231177,5.082520338,8.157165556,8.866597461
5.064612451,1.639439739,1.525897769,0.899294012,-11.95474231,5.531415702,1.868265338,3.280417612,4.449834573,-1.696314937,0.153242369,1.611300769,0.391843129,4.353793452,0.210840234,1.569154782,1.239134788,2.146006414,1.13577137,2.531933128,-0.050801632,-2.733295979,2.642803197,3.051161816,-2.169316342,0.44984589
1.527308374,0.439012117,-0.265195903,-6.667798296,-5.476519369,1.721811173,-2.833526336,-8.294514245,-5.450871158,-5.708542055,-5.898868334,1.059909743,-0.824508813,0.384935543,0.153471222,-2.301866254,-1.095969627,1.121598688,-3.850954049,-7.962758878,-5.293982324,-5.646013386,-1.610872203,1.057784841,-8.862228087,-5.73013553
-1.261184932,-2.671707558,-3.930513784,-1.554790401,2.400032978,-2.312156335,-2.812358718,-4.63965154,-0.805041722,3.083159622,3.512261475,-4.401376438,-3.788342917,-0.889239182,0.662427403,-4.262336079,-3.627921096,-3.494267821,-0.485035239,7.608666596,-0.334756747,5.321910975,1.346632539,-0.048378893,1.231619438,5.172532498
