Absolute Return HFs,Aggregate - Global,Aggregate - US,Asia Pacific ex Japan,Bitcoin,Cash - US,Credit Directional HFs,EM Debt,EM Equities,General Commodities,Global ACWI EAFE,Global Equities ACWI,Gold,Govt Bonds - Global,Govt Bonds - US,Growth Directional HFs,High Yield,HY Muni Bond,IG Corp,IG Muni Bond,Illiquid RE,Infrastructure,Japan Equities,Pan Europe,PE,Private Debt,REITs - Global,US Equities
3.67000,-1.92909,-1.51832,3.29579,24.53156,0.00077,2.12000,-3.04887,0.78784,7.67865,2.23788,2.28881,-6.32479,-2.68996,-1.82479,3.90895,-0.24555,-1.66786,-1.85597,-1.55734,1.74000,6.12588,1.83610,2.90070,1.70631,0.59257,4.07050,2.78056
0.80000,-0.12405,-1.14650,1.43376,15.83333,0.00079,0.67000,-0.73058,-0.72585,-2.47321,2.51317,2.85375,-1.09489,-1.50781,-1.47214,-0.11185,1.21139,1.25682,-1.31817,0.56780,3.37000,10.20556,0.43975,3.37449,1.71895,0.53509,3.69518,4.54050
2.21000,0.31938,0.73169,3.60342,-6.37490,0.00082,1.16000,2.40045,1.19985,9.76331,2.95242,4.24593,3.62854,0.92947,0.72292,3.06525,0.63638,1.16900,1.06817,0.76119,4.95000,3.23326,-1.60537,4.49841,3.38860,1.22727,6.86813,5.29105
1.42000,0.19455,0.20335,2.88240,-35.49627,0.00093,1.01000,0.96406,1.64876,3.08048,3.48227,1.47192,7.59644,0.70423,0.19092,0.60267,0.03882,1.03138,0.39586,0.34541,0.56000,1.17450,1.72056,4.60952,0.97317,0.55673,1.17517,0.65660
0.54000,0.45896,0.82788,-2.28915,-1.35672,0.00074,0.57000,0.85855,0.94656,1.60628,-1.08191,1.25746,-7.03254,-0.77102,0.87883,0.88723,1.32359,1.04728,1.74137,0.34806,1.78000,-2.17861,-0.79359,-1.40732,2.41910,1.46765,1.39348,2.24727
-0.91000,1.05430,1.11622,-1.25701,16.52130,0.00088,-0.32000,0.55826,-6.43699,2.35294,0.77333,0.90918,2.52151,1.66245,1.17143,-0.56050,0.10365,0.67190,1.28767,0.45954,2.71000,1.41643,-0.63666,1.59475,1.17939,0.63264,4.11255,2.44125
0.76000,-0.20866,-0.20096,0.11751,8.73758,0.00082,0.59000,0.89859,1.56977,-0.86207,1.44672,2.17413,-0.08681,-0.47991,-0.10152,0.78294,0.60941,-0.28346,-0.22285,-0.19483,1.39000,1.87151,1.92222,1.44044,2.37602,0.78863,1.55925,2.97599
-0.24000,-1.01063,-0.91693,-4.55790,-10.37861,0.00082,0.30000,-2.63887,-3.87331,5.97826,-3.26141,-4.22697,-3.24356,-2.28612,-1.07119,-1.28602,-0.37027,-1.33093,-1.29692,-0.70488,-3.45000,-5.93782,2.70468,-5.11560,-1.73704,0.37653,-5.89437,-4.65753
1.32000,-0.17603,-0.00947,5.06251,46.79468,0.00090,0.26000,0.15969,1.07185,3.35043,3.17908,5.39432,1.55642,-0.35642,-0.07193,2.40250,-0.31105,-0.33615,0.39780,-0.04824,4.36000,6.10329,-2.63345,5.08442,3.70893,0.19597,6.71288,7.01636
-2.00000,0.52901,0.27053,-6.94499,-6.98330,0.00077,-0.60000,-1.88180,-4.08484,-8.66689,-4.53473,-2.30747,-0.73681,0.17426,0.60853,-2.51315,-1.16858,0.81376,-0.10750,0.72680,-0.52000,-1.29978,-3.02632,-4.67409,-0.34480,-0.45795,-1.50427,-0.80348
