Security,Currency,Tier1,Tier2,Tier3,Tier4,PCC Building Blocks ,Proxy,Index
Global Alpha Fund Perf,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Global Evolution Frontier Mkts R CL EUR,Euro,Diversified,Income Strategies,Credit,Emerging Market Bonds,EM Debt,P_Credit_EUR,-
Global Long Short Fund Performance,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
GMO Climate Change III,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
GoldenTree Select Partners LP,US Dollar,Diversified,Absolute Return Strategies,Absolute Return,Absolute Return Hedge Funds,Absolute Return Funds,P_Absolute Return Hs,-
GQG Partners Concentrated Global Equity Comp,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
GQG Partners Emerging Markets EquityInst,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
GQG Partners Emerging Mkts Eq I EUR Acc,Euro,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_Equity_EUR,-
GQG Partners Emerging Mkts Eq I USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
GQG Partners Global Equity I GBP Acc,Pound Sterling,Growth,Growth Strategies,Equity,Global,Global Equities,P_Equity_GBP,-
GQG Partners Global Equity I USD Acc,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
GQG Partners Global Quality Equity Instl,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Graham Institutional Partners LP,US Dollar,-,-,-,-,-,-,-
Grayscale Bitcoin Trust ETF,US Dollar,Growth,Growth Strategies,Alternative Growth,Digital Assets,Digital Assets,-,-
Greenbacker GREC Proforma,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Unlisted Infrastructure,Real Estate,P_Private Infrastructure,-
Greenbacker GREC-1,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Unlisted Infrastructure,Real Estate,P_Private Infrastructure,-
Greenbacker GREC-2,US Dollar,Diversified,Inflation Protection Strategies,Real Assets,Unlisted Infrastructure,Real Estate,P_Private Infrastructure,-
Groupama Entreprises IC,Euro,Stability,Capital Preservation Strategies,Cash & Cash Equivalents,Money Market Funds,Money Market Funds,P_Cash & Cash Equivalents_EUR,-
Growth - Asia Ex Japan Equities,US Dollar,Growth,Growth Strategies,Equity,Asia Pacific ex Japan,Asia Pacific Ex Japan,P_Asia Pacific ex Japan,-
Growth - Digital Assets,US Dollar,Growth,Growth Strategies,Alternative Growth,Digital Assets,Digital Assets,-,-
Growth - EM Equities,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
Growth - Global Equities,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Growth - Global ex US Equities,US Dollar,Growth,Growth Strategies,Equity,Global,Global Equities,P_Global,-
Growth - Global REITs,US Dollar,Growth,Growth Strategies,Alternative Growth,REITs,Global REITs,P_Global REITs,-
Growth - Growth Directional HFs,US Dollar,Growth,Growth Strategies,Alternative Growth,Growth Directional Hedge Funds,Growth Directional HFs,P_Growth Directional HF,-
Growth - Intl Private Equity,US Dollar,Growth,Growth Strategies,Private Equity,Diversified PE,PE,P_Private Equity,-
Growth - Japan Equities,US Dollar,Growth,Growth Strategies,Equity,Japan,Japan,P_Japan,-
Growth - Onshore Private Equity,US Dollar,Growth,Growth Strategies,Private Equity,Diversified PE,PE,P_Private Equity,-
Growth - Pan Europe Equities,US Dollar,Growth,Growth Strategies,Equity,Europe ex UK,Pan Europe,P_Pan Europe,-
Growth - US Equities,US Dollar,Growth,Growth Strategies,Equity,North America,North America Equities,P_US,-
Guggenheim GFI (CHF Hedged),Swiss Franc,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,-,-
Guggenheim GFI A USD,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Guggenheim GFI Z GBP Inc,Pound Sterling,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_Investment Grade Bonds_GBP,-
Guggenheim GFI Z USD,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Guggenheim GFI Z USD Inc,US Dollar,Stability,Capital Preservation Strategies,Investment Grade Bonds,Aggregate IG Bonds,Aggregate IG,P_IG Corporate,-
Hereford Fds Bin Yuan Grter China AI USD,US Dollar,Growth,Growth Strategies,Equity,Global Emerging Markets,EM Equities,P_EM,-
